| table_schema | table_name                  | ordinal_position | column_name                                       | data_type                   | type_details | is_nullable | column_default    | constraint_type | foreign_key_table_schema | foreign_key_table_name      | foreign_key_column_name |
| people       | addresses                   | 33               | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | addresses                   | 34               | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | awards                      | 1                | id                                                | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | people                   | awards                      | id                      |
| people       | awards                      | 2                | people_id                                         | uuid                        |              | YES         | null              | FOREIGN KEY     | people                   | identities                  | people_id               |
| people       | awards                      | 3                | name                                              | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | awards                      | 4                | description                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | awards                      | 5                | issue                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | awards                      | 6                | date                                              | date                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | awards                      | 7                | priority                                          | integer                     |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | awards                      | 8                | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | awards                      | 9                | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | certification_web_addresses | 1                | id                                                | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | people                   | certification_web_addresses | id                      |
| people       | certification_web_addresses | 2                | certification_id                                  | uuid                        |              | YES         | null              | FOREIGN KEY     | people                   | certifications              | id                      |
| people       | certification_web_addresses | 3                | url                                               | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | certification_web_addresses | 4                | rank                                              | integer                     |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | certification_web_addresses | 5                | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | certification_web_addresses | 6                | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| people       | certifications              | 1                | id                                                | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | people                   | certifications              | id                      |
| people       | certifications              | 2                | people_id                                         | uuid                        |              | YES         | null              | FOREIGN KEY     | people                   | identities                  | people_id               |
| people       | certifications              | 3                | name                                              | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | certifications              | 4                | description                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | certifications              | 5                | authority                                         | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | certifications              | 6                | reference                                         | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| people       | certifications              | 7                | date                                              | date                        |              | YES         | null              | null            | null                     | null                        | null                    |
